-- -*- haskell -*-
[ (1   ,"Egy barátságos kis szobában vagy. Egy fiatal srác ül egy HomeLab-3 előtt. Hirtelen hátrafordul és beszélni kezd: ")
, (2   ,"Egy széles lassúfolyású folyó északi partján állsz. Egy ösvény vezet északkeletre, egy domb felé. ")
, (3   ,"A 'Bambusz szigeten' vagy. Magas, erős bambuszrudak vesznek körül. ")
, (4   ,"A dombtetőn állsz egy fa mellett. Egy kis falut látsz észak felé. A faluból ösvény indul feléd és dél felé folytatódik. ")
, (5   ,"Egy lerombolt faluban vagy egy leégett ház előtt. Utak indulnak északra és délre. ")
, (6   ,"Üszkös romok között állsz. Felismered, hogy ez apád háza... ez volt apád háza... Egy sötét nyílást látsz a padlón. Az egykori kijárat keletre van. ")
, (7   ,"A pincében vagy. ")
, (8   ,"Egy napfényes úton gyalogolsz valahol Japánban. Gátak és rizsföldek vannak körülötted. Keskeny utak indulnak minden irányba. ")
, (9   ,"Egy kisváros főutcáján vagy. Az utca észak felé folytatódik. Kisebb utca vezet nyugatra a piachoz. Egy hatalmas kaput látsz kelet felé. ")
, (10  ,"Egy nagy kapu előtt állsz. Az út nyugat felé vezet. ")
, (11  ,"A piacon vagy. Csak kelet felé hagyhatod el a teret. ")
, (12  ,"A főutcán vagy. Egy faház áll előtted, egy nagy tölgyfaajtóval az oldalán. Az utca dél felé vezet. ")
, (13  ,"Tomodachi házában vagy. ")
, (14  ,"Egy délkelet felé vezető sikátorban állsz. ")
, (15  ,"Egy kis téren vagy, Hakai házának hátsó fala mögött. A falat kölönböző kúszónövények borítják. Egy keskeny sikátor nyílik északnyugat felé. ")
, (16  ,"Egy erős ágon állsz, közel az ablakhoz. Könnyedén átléphetsz innen az ablakpárkányra. ")
, (17  ,"Egy kis kunyhóban vagy. A kijárati ajtó keletre van. ")
, (18  ,"Egy kunyhó mellett állsz északra egy kisvárostól. Egy út vezet észak felé. ")
, (19  ,"Egy észak-dél irányú erdei úton vagy. ")
, (20  ,"Egy sötét erdőben vagy egy nagy, öreg fa előtt. Keskeny ösvények vezetnek minden irányba. ")
, (21  ,"Egy útelágazásnál állsz. Északnyugatra, északkeletre és délre vezetnek az utak. ")
, (22  ,"Egy erdei úton állsz. Északkeletre és délnyugatra tudsz menni. ")
, (23  ,"Egy sötét üreg előtt állsz. Az út dél felé vezet. ")
, (24  ,"Egy barlangban vagy. Az egyetlen kijárat nyugatra van. ")
, (25  ,"Egy kikötőben vagy, Japánban. Egy út vezet délkelet felé. ")
, (26  ,"Egy vitorláshajó fedélzetén állsz. Egy csapóajtót látsz. ")
, (27  ,"A legénységi hálóteremben vagy. ")
, (28  ,"Egy kínai kikötőben vagy. Egy nagy vitorláshajót látsz keletre és egy kisebb bárkát északkeletre. A kikötőt északnyugat felé tudod elhagyni. ")
, (29  ,"Egy kis bárkában vagy. ")
, (30  ,"Egy kínai város főutcáján állsz. Egy hosszú, magas kerítést látsz észak felé. A lehetséges irányok nyugat és délkelet. ")
, (31  ,"Egy gyönyörű kert pázsitját taposod épp. Fák, bokrok és virágok vesznek körül. ")
, (32  ,"Egy téren vagy. Utak indulnak északra, keletre és délre. ")
, (33  ,"Egy kis, csendes utcában vagy, ami észak felé fut. Egy sikátor vezet innen kelet felé. ")
, (34  ,"Zsákutcába jutottál. Egy magas kerítés zárja el az utat. A sikátor nyugat felé vezet. ")
, (35  ,"A piacon vagy. Árusok és vásárlók tolonganak mindenfele. Asztalok és pultok állnak körülötted ")
, (36  ,"Egy lepény-árus pultja előtt állsz, a piacon. ")
, (37  ,"A városba vezető úton állsz. Utak vezetnek észak és nyugat felé is. ")
, (38  ,"Egy keskeny ösvényen sétálsz a hegyoldalban. Kisebb-nagyobb kövek és sziklák fekszenek körülötted. Az út délről északra vezet. ")
, (39  ,"Egy észak-déli hegyi ösvényen sétálsz. ")
, (40  ,"Egy keskeny út indul nyugat felé. ")
, (41  ,"Egy meredek sziklafal előtt állsz. Egy kolostor tornyait látod a magasban. Egy ösvény vezet keletre. ")
