-- -*- haskell -*-
[ (1   ,"Nem értem. Próbálkozz mással! ")
, (2   ,"Nem teheted meg. ")
, (3   ,"Nem mehetsz abba az irányba. ")
, (4   ,"OK. ")
, (5   ,"Nem látom itt azt a tárgyat. ")
, (6   ,"Nincs nálad az a tárgy. ")
, (7   ,"Egy gyors leltár: ")
, (8   ,"Nincs nálad semmi. ")
, (9   ,"Nem látsz semmi érdekeset. ")
, (10  ,"Minden rendben. ")
, (11  ,"Ezt látod: ")
, (12  ,"Meghaltál. ")
, (13  ,"Így használd: FELVESZEM A JÁTÉKOT xxx-RE ")
, (14  ,"Így használd: BETÖLTÖM A JÁTÉKOT xxx-RŐL ")
, (15  ,"xxx: KAZETTA vagy LEMEZ ")
, (16  ,"Nincs itt semmi. ")
, (17  ,"Nincs nálad semmi. ")
, (18  ,"Semmi sem történt. ")
, (19  ,"Már törtél egyet! ")
, (20  ,"Nincs idő pihenésre! ")
, (21  ,"Nem látsz semmi érdekeset. ")
, (22  ,"Telik az idő... ")
, (23  ,"A fosztogatók elvonultak. ")
, (24  ,"Megpróbálod, de leesel. ")
, (25  ,"A vödör üres. ")
, (26  ,"Eloltottad az izzó gerendát. ")
, (27  ,"Halott. ")
, (28  ,"Eszméletlen. ")
, (29  ,"Visszanyeri az eszméletét és halkan beszélni kezd: Szörnyű mészárlás volt... Megöltek mindenkit a faluban... A vezetőjüket Hakainak szólították... Állj bosszút, fiam... - Félrebillen a feje... Halott... ")
, (30  ,"Sötét és nyirkos. ")
, (31  ,"Nem látom itt őt. ")
, (32  ,"- Keresd meg Tomodachit! Lehet, hogy ő tud neked segíteni. Kopogj háromszor az ajtaján! - Mondja a vándor és továbbsétál... ")
, (33  ,"Elszaladt. ")
, (34  ,"Nem vagy te orvos! ")
, (35  ,"Ő sokkal gyakorlottabb a fegyveres harcban... ")
, (36  ,"Megölt téged. ")
, (37  ,"Megsebzett téged. ")
, (38  ,"Az őr megállít. ")
, (39  ,"- Ez Hakai háza! ")
, (40  ,"A katonák elfognak. ")
, (41  ,"Tele van vízzel. ")
, (42  ,"Tomodachi kinyitja az ajtót és behív téged. ")
, (43  ,"Csukva az ajtó. ")
, (44  ,"A katonák betörik az ajtót és beözönlenek a szobába. ")
, (45  ,"Pillanatok alatt végeznek veled... ")
, (46  ,"Sikerül kiosonnod. ")
, (47  ,"- Hé! Az az enyém! - Szól Tomodachi. ")
, (48  ,"De hisz ő a barátod! ")
, (49  ,"- Nehéz feladat Hakait megölni... Rengeteg fegyveres őr és katona őrzi a házát. És ő maga is kíváló harcos... Oh! Valaki elárult bennünket... Menekülj a hátsó ajtón keresztül! ")
, (50  ,"Üvöltözést és dörömbölést hallasz az ajtó felől. ")
, (51  ,"A katonák keresnek téged... ")
, (52  ,"A katonák megtaláltak... ")
, (53  ,"Leszakad a súlyod alatt. ")
, (54  ,"Elég erősnek néz ki. ")
, (55  ,"Az őr továbbmegy. ")
, (56  ,"Az őr észrevesz és belevágja a lándzsáját a fejedbe. ")
, (57  ,"Ő hirtelen előránt egy tőrt és leszúr. ")
, (58  ,"- Hakai felfogadott két bérgyilkost.Oshinoko, a néma yakuza és Nusumu, aki nesztelen lopódzik a hátad mögé minden követ megforgatnak, hogy megtaláljanak és megöljenek! ")
, (59  ,"- A felkelők készen állnak a harcra. Adj egy jelet nekünk ma éjszaka és támadunk! ")
, (60  ,"Valami elszáguld a füled mellett. ")
, (61  ,"Egy shuriken fúródik be a fejedbe... ")
, (62  ,"Oshinoko megállít. ")
, (63  ,"Nem válaszol, néma! ")
, (64  ,"Puszta kézzel Oshinoko ellen? Ez reménytelen. ")
, (65  ,"Számított a támadásodra, így könnyedén hárította azt és megölt... ")
, (66  ,"Leütötted a bambusz-rúddal. ")
, (67  ,"Nincs szerszámod! ")
, (68  ,"Néhány perces munka után egy ládát fordított ki az ásó a földből. ")
, (69  ,"Látsz valamit! ")
, (70  ,"Egy shuriken áll ki a fából. ")
, (71  ,"A ninják megállítanak. ")
, (72  ,"A ninják eltüntek... ")
, (73  ,"- Add át urad üzenetét nekem! ")
, (74  ,"A ninja elolvassa a levelet, majd egy altató-pirulát ad át neked. ")
, (75  ,"A kormányos észreveszi miben mesterkedsz és hozzádvág egy követ. ")
, (76  ,"A vitorla az első! ")
, (77  ,"Átviszlek a tengeren... ha meg tudod fizetni... ")
, (78  ,"A vitorlás kifut a tengerre. ")
, (79  ,"A hajó kiköt egy kikötőben... Kínában. ")
